station_name,station_latitude,station_longitude,station_zip
10 St & 5 Ave,40.6686273,-73.98700053,11215
College Ave & E 170 St,40.837576,-73.910489,10456
45 Rd & 11 St,40.74708586,-73.94977234,11101
N 11 St & Kent Ave,40.72248188638219,-73.95921930670737,11249
E 141 St & Jackson Ave,40.806896,-73.911837,10454
E 63 St & 3 Ave,40.763954,-73.9646,10065
Berkeley Pl & 6 Ave,40.6765304,-73.97846879,11217
Park Ave & E 124 St,40.8045555,-73.93968609999999,10037
Grand Concourse & E 164 St,40.829608,-73.921461,10452
Van Buren St & Broadway,40.692,-73.92617,11221
Dean St & Hoyt St,40.686444200000004,-73.98759104,11217
49 Ave & 21 St,40.74252,-73.948852,11101
Broadway & W 165 St,40.839137,-73.941409,10032
Edgecombe Ave & W 141 St,40.820681,-73.945144,10030
E 91 St & 2 Ave,40.781122299341654,-73.94965589046478,10128
Greene Ave & Grandview Ave,40.709697,-73.90785600000001,11237
Sterling St & Bedford Ave,40.6627059,-73.9569115,11225
Park Pl & Vanderbilt Ave,40.6767,-73.969024,11238
Bank St & Hudson St,40.73652889,-74.00618026,10014
44 Dr & 21 St,40.748000000000005,-73.94609270000001,11101
Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,11222
Jay St & Tech Pl,40.695065,-73.987167,11201
Central Park West & W 72 St,40.77579376683666,-73.97620573639871,10023
Willoughby Ave & Onderdonk Ave,40.7098,-73.91727,11385
Wyckoff Av & Jefferson St,40.707165,-73.923711,11385
E 91 St & Park Ave,40.7835016,-73.955327,10128
Roosevelt Island Tramway,40.757284000000006,-73.9536,10044
Carlton Ave & Flushing Ave,40.697787,-73.973736,11238
E 138 St & Cypress Ave,40.805559,-73.91471800000001,10454
Putnam Ave & Knickerbocker Ave,40.69545,-73.91164,11237
Adam Clayton Powell Blvd & W 132 St,40.813539,-73.94521,10027
Ogden Ave & Merriam Ave,40.839141999999995,-73.925961,10452
Myrtle Ave & Grove St,40.69905,-73.91516,11237
Gerard Ave & E 165 St,40.83173,-73.922394,10452
Boston Rd & E 167 St,40.828199,-73.903719,10456
Broadway & W 56 St,40.7652654,-73.98192338,10107
Washington St & Gansevoort St,40.739323,-74.008119,100014
E 2 St & Avenue C,40.720873600000004,-73.98085795,10002-1013
E 123 St & Lexington Ave,40.802926299999996,-73.9379,10035
Carlton Ave & Dean St,40.68097410000001,-73.97100970000001,11238
Montgomery St & Franklin Ave,40.666439306870814,-73.96055638790129,11225
E 138 St & Canal St W,40.812304,-73.929153,10451
W 41 St & 8 Ave,40.75640548,-73.9900262,10036
3 Ave & E 170 St,40.834857,-73.903743,10456
Newtown Ave & 23 St,40.7713615,-73.9246145,11102
Lenox Ave & W 115 St,40.8011939,-73.9500739,10037
Bond St & Bergen St,40.6849668,-73.98620772,11217
E 102 St & 1 Ave,40.7869946,-73.94164802,10029
Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,10069
St Nicholas Ave & W 137 St,40.818477,-73.947568,10040
Amsterdam Ave & W 175 St,40.844044,-73.933651,10033
Franklin St & Dupont St,40.735640000000004,-73.95866,11222
E 59 St & Madison Ave,40.76350532,-73.97109243,10022
Westchester Ave & Jackson Ave,40.816124,-73.908116,10455
W 21 St & 6 Ave,40.74173969,-73.99415556,10011
DeKalb Ave & Hudson Ave,40.689888,-73.981013,11221
DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,11205
Lorimer St & Broadway,40.70411791,-73.94818595,11221
Washington Ave & E 163 St,40.824,-73.91089000000001,10451
Douglass St & 4 Ave,40.67927879999999,-73.98154004,11217
Brook Ave & E 157 St,40.820713,-73.911759,10451
Montague St & Clinton St,40.694281141397326,-73.99230033159256,11201
E 81 St & 3 Ave,40.77573034,-73.9567526,10028
Steinway St & 23 Ave,40.771393700000004,-73.9077436,11105
Astoria Park S & Shore Blvd,40.7767,-73.927631,11105
E 20 St & 2 Ave,40.73587678,-73.98205027,10010
W 11 St & 6 Ave,40.73532427,-73.99800419,10014
Perry St & Bleecker St,40.73535398,-74.00483091,10014
W 25 St & 6 Ave,40.74395411,-73.99144871,10001
E 106 St & Lexington Ave,40.791976,-73.945993,10029
Amsterdam Ave & W 167 St,40.839443,-73.937044,10032
W 171 St & St. Nicholas Ave,40.842940999999996,-73.938631,10032
37 St & 24 Ave,40.7701477,-73.9120938,11101
Marcus Garvey Blvd & Macon St,40.682601,-73.938037,11216
S 3 St & Bedford Ave,40.71260486,-73.96264403,11211
Leonard St & Church St,40.717571,-74.005549,10013
Convent Ave & W 135 St,40.818215,-73.950988,10031
7 St & 3 Ave,40.67260298150126,-73.98983001708984,11215
E 2 St & Avenue B,40.72217444,-73.98368779,10009
27 Ave & 9 St,40.7739825,-73.93091340000001,11102
Menahan St & Seneca Ave,40.704609999999995,-73.91054,11385
Bruckner Blvd & Bryant Ave,40.821952,-73.88854599999999,10459
Broadway & W 38 St,40.75299641,-73.98721619,10019
Cumberland St & Lafayette Ave,40.68753406,-73.97265183,11238
Baltic St & 5 Ave,40.6795766,-73.97854971,11217
Boerum St & Broadway,40.70538077,-73.94976519,11206
Douglass St & 3 Ave,40.6802133,-73.98432695,11217
Inwood Ave & W 170 St,40.840536,-73.919228,10452
Fairview Ave & Linden St,40.70694,-73.90632,11385
Riverview Park,40.7443187,-74.04399090000001,07087
Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,10282
Henry St & Grand St,40.714211,-73.981095,10002
40 Ave & Crescent St,40.7535992020056,-73.9379560947418,11101
E 149 St & Jackson Ave,40.813134999999996,-73.909235,10455
Eldert St & Bushwick Ave,40.68652,-73.91320999999999,11207
Flushing Ave & Woodward Ave,40.71246,-73.91873000000001,11385
E 43 St & 5 Ave,40.754120810779256,-73.98025184869765,10017
Morris Ave & E 142 St,40.814469,-73.924963,10451
3 Ave & Franklin Ave,40.82696,-73.907451,10456
E 11 St & 1 Ave,40.72953837,-73.98426726,10009
E 16 St & 5 Ave,40.73726186,-73.99238967,10003
Reade St & Broadway,40.71450451,-74.00562789,10013
Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,11237
Hancock St & Wyckoff Ave,40.6972,-73.90674,11385
Mercer St & Spring St,40.72362738,-73.99949601,10012
Jerome Ave & E 164 St,40.831444,-73.926226,10452
3 Ave & Carroll St,40.677027,-73.9865,11215
Kent St & McGuinness Blvd,40.73124,-73.95161,11222
6 Ave & W 34 St,40.74964,-73.98805,10019
E 171 St & Webster Ave,40.838378999999996,-73.905838,10457
Tompkins Ave & Hopkins St,40.69957608,-73.94708417,11216
W 24 St & 7 Ave,40.74487634,-73.99529885,10011
Court St & Nelson St,40.6763947,-73.99869893,11231
6 Ave & W 33 St,40.74901271,-73.98848395,10019
Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,11217
Riverside Dr & W 104 St,40.8013434,-73.97114574390001,10025
Garfield Pl & 8 Ave,40.671197799999995,-73.97484126,11215
E 76 St & Park Ave,40.773763,-73.96222088,10021
W 42 St & 6 Ave,40.75492,-73.98455,10019
E 141 St & St Ann's Ave,40.808633,-73.916124,10454
Willoughby Ave & Myrtle Ave,40.69757,-73.93098,11221
W 22 St & 10 Ave,40.74691959,-74.00451887,10011
W 84 St & Columbus Ave,40.78499979,-73.97283406,10024
2 Ave & E 31 St,40.74290902,-73.97706058,10016
Murray St & Greenwich St,40.71485150526252,-74.01122331619263,10007
28 St & 41 Ave,40.751047,-73.93796999999999,11101
E 41 St & Madison Ave,40.752165280621966,-73.97992193698882,10017
Willis Ave & E 137 St,40.808384000000004,-73.923604,10454
Walton Ave & E 153 St,40.822351,-73.926907,10451
E 68 St & Madison Ave,40.7691572,-73.96703464,10065
Lincoln Ave & E 134 St,40.808484,-73.928803,10454
Clinton St & Centre St,40.67434,-74.00194698,11231
31 Ave & Steinway St,40.761148799999994,-73.9170071,11103
E 165 St & Clay Ave,40.82809,-73.91288,10456
E 169 St & Fox St,40.827184,-73.893721,10459
Bialystoker Pl & Delancey St,40.71622644,-73.98261206,10002
Fulton St & Irving Pl,40.68186,-73.95943199999999,11207
Greene Ave & Nostrand Ave,40.68833370000001,-73.950916,11216
Grant Ave & E 169 St,40.83579,-73.913741,10456
Wilkins Ave & Crotona Park E,40.835302,-73.895133,10460
Fulton Ave & E 172 St,40.839228999999996,-73.899047,10457
24 Ave & 26 St,40.774591,-73.918544,11105
Stagg St & Union Ave,40.70877084,-73.95095259,11211
Lispenard St & Broadway,40.71939226,-74.00247214,10013
Fort Washington Ave & W 173 St,40.84522,-73.940493,10032
E 10 St & Avenue A,40.72740794,-73.98142006,10009
9 Ave & W 22 St,40.7454973,-74.00197139,100014
27 Ave & 3 St,40.77485,-73.9342,11102
Bedford Ave & Nassau Ave,40.72311651,-73.95212324,11249
Lafayette Ave & St James Pl,40.68851534,-73.9647628,11238
Kane St & Clinton St,40.686175799999994,-73.99645295,11231
10 St & 7 Ave,40.666207799999995,-73.98199886,11215
Somers St & Broadway,40.67945,-73.90474,11233
Waterbury St & Stagg St,40.710190000000004,-73.93734,11211
Central Ave & Decatur St,40.6882,-73.90798000000001,11207
W 163 St & Riverside Dr,40.839278,-73.94544599999999,10032
Willoughby Ave & Walworth St,40.69331716,-73.95381995,11205
W 15 St & 6 Ave,40.73804614248277,-73.99642959237099,10011
Rogers Ave & Sterling St,40.6630619,-73.95387459999999,11225
Menahan St & Central Ave,40.69543,-73.9196,11221
Icahn Stadium,40.793459999999996,-73.92389,10454-4606
Mount Eden Pkwy & Eastburn Ave,40.842675,-73.90854399999999,10457
Southern Blvd & E 149 St,40.811892,-73.90419200000001,10458
W 18 St & 6 Ave,40.73971301,-73.99456405,10011
35 St & Broadway,40.760339,-73.9222427,11106
E 44 St & 2 Ave,40.75118387463277,-73.97138714790343,10017
Powers St & Olive St,40.713229999999996,-73.93894,11211
E 128 St & Madison Ave,40.807559999999995,-73.93918199999999,10035
47 Ave & Skillman Ave,40.7437524099784,-73.94176483154297,11101
5 Ave & W 131 St,40.810140000000004,-73.93973000000001,10037
Leonard St & Boerum St,40.70583339,-73.94644578,11222
E 45 St & 3 Ave,40.75255434,-73.97282625,10017
W 64 St & Thelonious Monk Circle,40.77515953434235,-73.98918695747851,10069
Carmine St & 6 Ave,40.73038599,-74.00214988,10014
Madison Ave & E 99 St,40.78948541553215,-73.9524292945862,10037
Grove St & Broadway,40.69047,-73.923511,11221
Boston Rd & Prospect Ave,40.833246,-73.896599,10456
Amsterdam Ave & W 156 St,40.832081,-73.942386,10032
E 158 St & Melrose Ave,40.822215,-73.914688,10451
1 Ave & E 110 St,40.7923272,-73.9383,10029
Devoe St & Morgan Ave,40.713811,-73.93515,11211
E 118 St & 3 Ave,40.799139000000004,-73.9389152,10035
3 Ave & E 62 St,40.76312584,-73.96526895,10065
Catherine St & Monroe St,40.71117444,-73.99682619,10038
E 48 St & 3 Ave,40.7546011026,-73.971878855,10017
Crotona Park North & Prospect Ave,40.841091999999996,-73.892317,10457
Grand Concourse & E 156 St,40.823429,-73.924689,10451:10455
Johnson St & Gold St,40.69474881,-73.98362464,11201
E 116 St & 2 Ave,40.796879,-73.93726099999999,10035
E 84 St & 1 Ave,40.77565541,-73.95068615,10028
Brook Ave & E 148 St,40.814383,-73.915368,10455
Graham Ave & Conselyea St,40.715143,-73.944507,11211
E 20 St & Park Ave,40.73827428,-73.98751968,10003
Sterling Pl & Bedford Ave,40.672695000000004,-73.954131,11216
Union Ave & Wallabout St,40.70029511,-73.95032283,11211
E 167 St & Franklin Ave,40.82895,-73.90521,10456
Nassau Ave & Newell St,40.724812564400175,-73.94752621650694,11222
E 132 St & Madison Ave,40.810224,-73.93719499999999,10037
Union Ave & E 169 St,40.82995,-73.898802,10459
Freeman St & Reverend James A Polite Ave,40.830529,-73.894717,10459
Suydam St & St. Nicholas Ave,40.70636,-73.91945,11237
West End Ave & W 94 St,40.7941654,-73.974124,10025
Mott St & Prince St,40.72317958,-73.99480012,10012
8 Ave & W 31 St,40.7505853470215,-73.9946848154068,100036
Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,11238
W 52 St & 11 Ave,40.76727216,-73.99392888,10019
Avenue D & E 3 St,40.72082834,-73.97793172,10009:10010
5 St & 6 Ave,40.670483600000004,-73.98208968,11215
W 169 St & Fort Washington Ave,40.8428422,-73.9421253,10032
Riverside Dr & W 91 St,40.793134809866636,-73.97700369358063,10024
E 88 St & Park Ave,40.781410700190015,-73.95595908164978,10128
Bushwick Ave & Forrest St,40.700759999999995,-73.93641,11206
Broadway & W 58 St,40.76695317,-73.98169333,10107
W 4 St & 7 Ave S,40.73401143,-74.00293877,10014
E 53 St & 3 Ave,40.75763227739443,-73.9693057537079,10022
Liberty St & Nassau St,40.70858894240581,-74.00935482235809,10045
E 161 St & River Ave,40.827883,-73.927111,10451:10455
Grand Concourse & E 161 St,40.827115,-73.92272,10451
State St & Smith St,40.68926942,-73.98912867,11217
W 120 St & Claremont Ave,40.8109494,-73.9634,10027
W 180 St & Ft Washington Ave,40.849971999999994,-73.938423,10033
Charlotte St & Boston Rd,40.8358771,-73.89314279999999,10460
Division Ave & Hooper St,40.70684203101325,-73.9544353965357,11249
E 82 St & East End Ave,40.7724607,-73.9468208,10028
E 65 St & 2 Ave,40.76471851944339,-73.96222069859505,10065
Brooklyn Bridge Park - Pier 2,40.698458,-73.997178,11201
Vernon Blvd & 10 St,40.7671863,-73.9373554,11106
5 Ave & E 29 St,40.7451677,-73.98683077,10035
31 Ave & Crescent St,40.765834600000005,-73.9265474,11102
Pershing Square North,40.751872999999996,-73.97770600000001,10037
Harrison Pl & Porter Ave,40.70686,-73.92851,11237
W 49 St & 8 Ave,40.76227205,-73.98788205,10019
Carroll St & Bond St,40.6786115,-73.99037292,11231
Linden St & Knickerbocker Ave,40.697140000000005,-73.91566,11237
Edgecombe Ave & W 150 St,40.826881,-73.941427,10031
E 147 St & Bergen Ave,40.814673,-73.91839,10455
Cauldwell Ave & E 161 St,40.82188,-73.907521,10456
Grand St & Havemeyer St,40.71286844,-73.95698119,11211
Broadway & Kosciuszko St,40.693290000000005,-73.92851999999999,11221
W 13 St & 7 Ave,40.73781509,-73.99994661,10011
E 134 St & Walnut Ave,40.800425,-73.911034,10454
Market St & Cherry St,40.71076228,-73.99400398,10002
8 Ave & W 52 St,40.76370739,-73.9851615,10019
Myrtle Ave & Linden St,40.69943,-73.91337,11237
Hicks St & Montague St,40.69512845,-73.99595065,11201
Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,11221
Central Ave & Flushing Ave,40.702831,-73.9333,11206
Edgecombe Ave & W 145 St,40.823498,-73.94386,10030
Frost St & Debevoise Ave,40.71882,-73.93948,11211
W 82 St & Central Park West,40.78275,-73.97137,10024
Division Ave & Marcy Ave,40.70708701,-73.95796783,11249
E 170 St & Webster Ave_old,40.836103,-73.907199,10456
Central Park W & W 103 St,40.79603684159984,-73.96158903853575,10025
Fulton St & Adams St,40.692418292578466,-73.98949474096298,11207
E 32 St & Park Ave,40.745712100000006,-73.98194829,10016
E 31 St & 3 Ave,40.74394314,-73.97966069,10016
Amsterdam Ave & W 162 St,40.83618,-73.939789,10032
Little West St & 1 Pl,40.70569254,-74.01677685,10280
Waterloo Pl & Crotona Park East,40.839194,-73.888587,10460
E 133 St & Cypress Pl,40.802620000000005,-73.9174,10454
W 18 St & 9 Ave,40.7435337324616,-74.00367558002472,10011
W 45 St & 8 Ave,40.75929124,-73.98859651,10036
N 15 St & Wythe Ave,40.724055,-73.955736,11222
7 Ave & Central Park South,40.7667405590595,-73.9790689945221,10019
Willoughby St & Fleet St,40.69196566,-73.9813018,11201
River Ave & E 153 St,40.82441,-73.92818,10451
11 St & 43 Ave,40.7519071,-73.94791190000001,11101
Amsterdam Ave & W 73 St,40.779668090073116,-73.98093044757842,10023
Bergen St & Vanderbilt Ave,40.6794388,-73.96804379999999,11238
Knickerbocker Ave & Thames St,40.70539,-73.92976,11237
Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,11221
Picnic Point,40.68512559515415,-74.02535319328308,10004
Hoe Ave & Jennings St,40.832171,-73.889686,10460
Glenwood Ave,40.72755146730012,-74.07106071710588,07306
Lexington Ave & E 111 St,40.79541210000001,-73.9441232,10029
Pleasant Ave & E 116 St,40.794987899999995,-73.9333349,10029
Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,11211
E 103 St & Lexington Ave,40.790305100000005,-73.94755757,10029
Franklin Ave & St Marks Ave,40.6758324,-73.95616770000001,11238
S Portland Ave & Hanson Pl,40.68539567,-73.97431458,11217
E 56 St & 3 Ave,40.75934501,-73.96759673,10022
Center Blvd & 51 Ave,40.74336608027021,-73.95960688591003,11109
Lafayette Ave & Classon Ave,40.68900443,-73.96023854,11221
6 Ave & 9 St,40.668127,-73.98377641,11215
Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,11211
Westchester Ave & E 156 St,40.817802,-73.905203,10455-1201
White St & Johnson Ave,40.707174,-73.93581,11206
E 138 St & Willow Ave,40.804168,-73.91154499999999,10454
Willis Ave & E 141 St,40.81093,-73.92160600000001,10454
Southern Blvd & Avenue St. John,40.812769,-73.901583,10455
W 84 St & Broadway,40.7867947,-73.977112,10024
Fulton St & Broadway,40.711065999999995,-74.009447,10038
McGuinness Blvd & Eagle St,40.73555,-73.95284000000001,11109
Van Sinderen Ave & Truxton St,40.6786,-73.90369,11207
W 165 St & Fort Washington Ave,40.84004,-73.942939,10032
Henry St & Degraw St,40.684751399999996,-73.99917254,11231
Webster Ave & E 166 St,40.828975,-73.911259,10456
W 92 St & Broadway,40.7921,-73.9739,10023
W 87 St & West End Ave,40.789621999999994,-73.97757,10024
E 98 St & Park Ave,40.788129999999995,-73.95206,10129
Lewis Ave & Madison St,40.686312,-73.935775,11221
Marcy Ave & Lafayette Ave,40.6900815,-73.94791500000001,11216
Cedar St & Myrtle Ave,40.697842,-73.926241,11221
N 12 St & Bedford Ave,40.72079821,-73.95484712,11211
Hoyt St & Warren St,40.6843549,-73.98901629,11217
W 106 St & Central Park West,40.798185600000004,-73.96059090060001,10025
E 27 St & 1 Ave,40.739445,-73.97680600000001,10016
E 47 St & 1 Ave,40.75206862,-73.96784384,10017-6927
35 Ave & 37 St,40.7557327,-73.92366109999999,11101
Cadman Plaza E & Johnson St,40.69531727766904,-73.99015724658966,11201
Broadway & E 14 St,40.73454567,-73.99074142,10003
Lenox Ave & W 146 St,40.821111,-73.935971,10039
Pershing Square South,40.751581,-73.97791,10037
Broad St & Bridge St,40.70365182,-74.01167797,10004
Lexington Ave & E 127 St,40.805726,-73.936322,10035
Madison St & Forest Ave,40.70555,-73.90245,11385
W 78 St & Amsterdam Ave,40.782535857724106,-73.97908508777618,10024
Cypress Ave & George St,40.69812,-73.90271,11385
Cabrini Blvd & W 177 St,40.848282,-73.941343,10033
W 63 St & Broadway,40.77163851,-73.98261428,10023-5112
Wyckoff St & Nevins St,40.683426000000004,-73.984275,11217
Rivington St & Chrystie St,40.72110063,-73.99192540000001,10012-3332
E 43 St & 2 Ave,40.75022392,-73.97121414,10017
Jefferson Ave & Evergreen Ave,40.689890000000005,-73.91458,11221
Dawson St & Intervale Ave,40.819998999999996,-73.897263,10459
W 48 St & Rockefeller Plaza,40.757936462436746,-73.97960275411606,10036
Broadway & 12 St,40.7668,-73.93477740000002,11373
21 St & 38 Ave,40.7576314,-73.9391224,11101
Walnut Ave & E 136 St,40.801657,-73.909513,10454
Prospect Ave & Jennings St,40.831762,-73.89685300000001,10456
St Nicholas Ave & W 150 St,40.827212,-73.942722,10031
Great Jones St,40.72743423,-73.99379025,10012
Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,11249
28 Ave & 35 St,40.7671,-73.9169858,11101
3 St & 3 Ave,40.675070500000004,-73.98775226,11215
3 Ave & E 163 St,40.823871999999994,-73.908699,10456
3 Ave & E 172 St,40.839586,-73.900277,10457
Gerard Ave & McClellan St,40.833909000000006,-73.92112,10452
W 47 St & 6 Ave,40.758396999999995,-73.98255,10111
Jackson St & Leonard St,40.716380319735606,-73.94821286201476,11211
24 St & 41 Ave,40.752474,-73.939991,11101
Dwight St & Van Dyke St,40.67363551341504,-74.01195555925368,11231
31 Ave & 30 St,40.7647,-73.9240312,11102
Roebling St & N 4 St,40.714690000000004,-73.95739,11211
W 104 St & Amsterdam Ave,40.79904139288298,-73.96649479866028,10025
Madison Av & E 51 St,40.75863,-73.97513000000001,10022
Railroad Ave & Kay Ave,40.70531194,-73.97100056,11251
Gerard Ave & E 146 St,40.817755,-73.92965,10451
Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,11206
3 St & 7 Ave,40.67038370000001,-73.97839676,11215
W 70 St & Amsterdam Ave,40.77748046,-73.98288594,10023
1 Ave & E 30 St,40.74144387,-73.97536082,10002-1013
Broadway & Battery Pl,40.70463334,-74.01361706,10275
Fulton Ave & St. Paul's Pl,40.83545,-73.90153000000001,10456
W 15 St & 10 Ave,40.742753828659026,-74.00747358798982,100014
N 6 St & Bedford Ave,40.71745169,-73.95850939,11249
St Nicholas Ave & E 134 St,40.816234,-73.948222,10030
McKibbin St & Manhattan Ave,40.70510918,-73.94407279,11206
E 5 St & Avenue C,40.72299208,-73.97995466,10009
Madison St & Montgomery St,40.713126,-73.984844,10002
31 St & Hoyt Ave N,40.771152799999996,-73.9170074,11102
8 Ave & W 16 St,40.740983,-74.00170200000001,10011
Berkeley Pl & 7 Ave,40.675146838709786,-73.9752320945263,11217
India St & Manhattan Ave,40.73232194,-73.9550858,11222
38 Ave & 29 St,40.75473,-73.93366999999999,11101
Ogden Ave & W 164 St,40.832812,-73.929372,10452
St Ann's Ave & Westchester Ave,40.815887,-73.911918,10455
E 81 St & York Ave,40.7728384,-73.94989233,10075
Pierrepont St & Monroe Pl,40.69535693320225,-73.99344027042389,11201
Warren St & W Broadway,40.71473993,-74.00910627,10007
34 St & 35 Ave,40.756933200000006,-73.92622309999999,11106
Riverside Dr & W 148 St,40.829114000000004,-73.95042600000001,10031
Sip Ave,40.73089709786179,-74.06391263008119,07306
Union Ave & N 12 St,40.71924,-73.95241999999999,11211
Court St & State St,40.6902375,-73.99203074,11201
St. Nicholas Ave & W 155 St,40.830663,-73.941323,10040
St. Ann's Av & Bruckner Blvd,40.803399,-73.919763,10454
E 153 St & E 157 St,40.826677000000004,-73.929327,10451
Park Pl & Franklin Ave,40.67418060000001,-73.95649470000001,11216
Broadway & Roebling St,40.70924826276157,-73.96063148975372,11207
S 4 St & Wythe Ave,40.71285887,-73.96590294,11211
St Johns Pl & Washington Ave,40.6737236,-73.9631611,11238
Willoughby Ave & Hall St,40.69196035,-73.96536851,11205
9 Ave & W 28 St,40.74937024193277,-73.99923384189607,10001
Irving Ave & DeKalb Ave,40.7027,-73.92095,11237
36 Ave & 31 St,40.75651272984955,-73.92957486212252,11106
E 165 St & Fox St,40.82394,-73.894025,10459
West End Ave & W 78 St,40.783786,-73.981687,10024
S 4 St & Rodney St,40.709340000000005,-73.95608,11211
